Study,Country,Program,Age_range,Recruitment,Inclusion_criteria,Baseline_severity,Dosage,Support_level,Delivery,CBT_components,Publication_type,Funding
Ackerson et al. 1998,US,Feeling Good,14-18 (inferred from the article),School/hospital/advertisement,CDI ≥10 and HRSD ≥10; grades 7–12; living at home with parent/guardian; no psychotic or suicidal symptoms; not in psychotherapy; reading level above a 6th-grade equivalence,Mild-Moderate,4 weeks; self-paced; weekly monitoring calls,Human,Biblio,cr+ba+pe+hw+rp+ist,Journal,NA
Bohr et al. 2023,Canada,SPARX,13-18,Community,"Identified by community facilitators as exhibiting low mood, negative affect, depressive presentations, or significant levels of stress; sufficient English comprehension to use and understand SPARX.",Moderate,"7 weeks, 1x/week",Human + Tech,Computer,cr+ba+ps+rx+pe+hw+3w,Journal,Nunavut Dept of Health
Fleming et al. 2012,New Zealand,SPARX,13-16,Recruited from alternative education / alternative schooling programmes for adolescents excluded or alienated from mainstream education.,"CDRS-R ≥30; participantsneededtobeabletousethecomputerprogrammeandcompletemeasures, andtoremainenrolledforatleast10weeks.",Moderate,"7 modules/5 weeks, ~30min",Human + Tech,Computer,cr+ba+ps+rx+pe+hw+3w,Journal,NA
Ip et al. 2016,China (HK),Grasp The Opportunity,13-17,School,"12≤CESD-R≤40; no MDD/schizophrenia/bipolar;suicide-related hospitalization risk; no antidepressant or psychotropic medication use; no substance abuse; no reading impairment, no intellectual disability, visual impairment, or developmental disability",Mild-Moderate,"10 modules/8 months, self-paced",Human + Tech,Web,cr+ba+pe,Journal,Lotteries Fund HK
Makarushka 2011,US,Blues Blaster,11-15,School+Community (School and juvenile justice/community agency recruitment),"
CES-D > 13 at initial screening and CES-D ≥ 16 at baseline;
English-speaking;
access to high-speed Internet;
not currently meeting DSM-IV criteria for a mood disorder. Excluded if currently met criteria for a mood disorder: Major Depression, Dysthymia, or Mania.",Mild-Moderate,30 sessions/6 weeks; encouraged to complete 1 mini-lesson per day; 1 module per week,Auto,Web,cr+ba+pe+hw,Dissertation,NIMH SBIR R44 MH068989
O'Dea et al. 2020,Australia,WeClick,12-16,Social media (Facebook),No specific inclusion criteria regarding assessment;no depression severity threshold; fluent in English; written consent from gaurdians; have access for contact; ability of using smart phone,Moderate,Single session; ~1 hour/4 weeks,Auto,Mobile,cr+ps+ist,Journal,Philanthropic (Buxton Family Foundation); University (UNSW Brain Sciences)
O'Dea et al. 2025,Australia,ClearlyMe,12-17,Social media + Official website + Recommendation from others,"5≤PHQ-A-≤19; accesstoasmartphoneandtheInternet, andhavinganemailaddressandmobilephonenumber; abilitytoreadEnglishataGrade7-8level; consentfromaparentorguardian; notcurrentlyreceivingorplanningprofessionalpsychologicaltreatment, ortakingprescribedmedicationfordepressionoranxiety; noreportofseveresuicidalideationinthepasttwoweeks, orseriousthoughts/intentionsofself-harmorsuicideattemptswithinthepastmonth",Moderate,9 collection in total; ~20min x 9 /6 weeks,Human+Tech,Mobile,cr+ba+ps+ist+rx+pe+3w,Preprint,"The Goodman Foundation and 
chief investigators were supported by National Health and Medical Research Council 
(NHMRC) Grants"
Poppelaars et al. 2016,The Netherlands,SPARX,11–16,School,Girls had to score at or above the 70th percentile on depressive symptoms within the sample (RADS-2 score ≥ 59); girls with suicidal ideation or involving in ongoing psychotherapy were excluded; have a parent or guardian present who was capable of providing informed consent,Mild,"7 levels, ~20–40 min/level, 7 weeks",Human,Computer,cr+ba+ps+rx+pe+hw+3w,Journal,"Behavioural Science Institute, Radboud University Nijmegen"
Ranney et al. 2018,US,iDove,13–17,Clinical (Emergency Department),"The inclusion criteria for the study required participants to be English-speaking adolescents aged 13 to 17 who presented to the emergency department for any reason
; had to report experiencing physical peer violence (either as a victim or a perpetrator) within the past year and demonstrate mild-to-moderate depressive symptoms, defined as a Patient Health Questionnaire-9 (PHQ-9) score between 5 and 19
; participants were required to possess a mobile phone with text-messaging capabilities and have a parent or guardian present who was capable of providing informed consent.",Mild-Moderate,1 brief in-ED intervention session + 8 weeks automated text messaging,Auto,Text,cr+ba+pe,Journal,"National Institute of Mental Health grants K23 MH095866, K24 HD062645, and K24DA027109"
Rohde et al. 2015,US,Feeling Good (bibliotherapy arm),13-19,School (5 high schools),CES-D-based 1-page screener: endorsed ≥2 items; current MDD & acute SI excluded; written consent from gaurdians and paricipants,Mild,"6 weeks, self-paced (book); 2 reminder phone calls, only for pure encouragement",Human,Biblio,cr+ba+pe+hw+rp+ist,Journal,NIMH R01 MH079164
Smith et al. 2015,UK,Stressbusters,12-16,School,"MFQ-C≥ 20, students who are having severe symptoms and/or significant risk requiring immediate intervention or having learning disability that might interfere with the intervention were exclued; writtenconsentfromgaurdiansandparicipants",Mild-Moderate,"8 sessions, 8 weeks (× 30–45 min)",None,Computer,cr+ba+ps+ist+pe+hw+rp,Journal,"Guy's & St Thomas' Charity, London (G100111)"
Stallard et al. 2024,UK,BlueIce,12-17,Clinical (CAMHS),Repeated self-harm (≥2/year),Severe,24/7 access,Tech,Mobile,cr+ba+rx+3w,Journal,NIHR
Stasiak et al. 2014,New Zealand,The Journey,13-18,School (counsellor referral within past 1 year),CDRS-R≥30 or RADS-2≥76; self-referred for low mood; excluding students with high risk of suicidality; moderate-to-severe learning disorder; low ability of English and using computer; written form of consent by participants and their gaurdians,Mild-Moderate,"7 modules, ~25–30 min/module, 4–10 weeks; 1 weekly challenge at the end of each session",Tech,Computer,cr+ba+ps+rx+rp+hw,Journal,NA
Stice et al. 2008 & 2010,US,Feeling Good,14-19,School (Mass mailings + handbills during lunch hour + posters in schools),CES-D≥20; signedconsent/parentalconsent; currentmajordepressionexcluded.,Mild-Moderate,Self-paced,NA,Biblio,cr+ba+pe+hw+rp+ist,Journal,NIH MH67183
Wright et al. 2020,UK,Stressbusters,12-18,Clinical（CAMHS primary mental health workers）,MFQ ≥ 20（validation research proposes ≥20 indicates any depressive disorder）; aged 12–18; referred for low mood/depression via primary mental health worker; excluding psychosis and active suicidality,Severe,8 sessions × 30–45 min,Tech,Computer,cr+ba+ps+ist+pe+hw+rp,Journal,NIHR Research for Patient Benefit (PB-PG-0609-19295)
